player_id,team_id,general_position,minutes_played,data
0x5g2EKLM7,9z5k7Yg5A3,W,688,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.1037, 'goals_added_above_avg': -0.23500000000000001, 'count_actions': 95}, {'action_type': 'Fouling', 'goals_added_raw': -0.016900000000000002, 'goals_added_above_avg': -0.082, 'count_actions': 10}, {'action_type': 'Interrupting', 'goals_added_raw': 0.14730000000000001, 'goals_added_above_avg': -0.1804, 'count_actions': 40}, {'action_type': 'Passing', 'goals_added_raw': 0.0906, 'goals_added_above_avg': 0.08360000000000001, 'count_actions': 208}, {'action_type': 'Receiving', 'goals_added_raw': 0.28090000000000004, 'goals_added_above_avg': -0.4555, 'count_actions': 170}, {'action_type': 'Shooting', 'goals_added_raw': 0.15360000000000001, 'goals_added_above_avg': -0.2068, 'count_actions': 8}]"
0x5g2RXXM7,a2lqR4JMr0,CM,311,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0053, 'goals_added_above_avg': -0.030600000000000002, 'count_actions': 49}, {'action_type': 'Fouling', 'goals_added_raw': -0.046200000000000005, 'goals_added_above_avg': -0.044, 'count_actions': 17}, {'action_type': 'Interrupting', 'goals_added_raw': 0.33130000000000004, 'goals_added_above_avg': 0.1192, 'count_actions': 31}, {'action_type': 'Passing', 'goals_added_raw': 0.3951, 'goals_added_above_avg': 0.2944, 'count_actions': 171}, {'action_type': 'Receiving', 'goals_added_raw': 0.0487, 'goals_added_above_avg': -0.0868, 'count_actions': 137}, {'action_type': 'Shooting', 'goals_added_raw': 0.0995, 'goals_added_above_avg': 0.019100000000000002, 'count_actions': 3}]"
0x5g2pW7M7,mKAqBBmqbg,CB,928,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0441, 'goals_added_above_avg': 0.0091, 'count_actions': 106}, {'action_type': 'Fouling', 'goals_added_raw': -0.2011, 'goals_added_above_avg': -0.1258, 'count_actions': 23}, {'action_type': 'Interrupting', 'goals_added_raw': 0.5306000000000001, 'goals_added_above_avg': -0.15330000000000002, 'count_actions': 99}, {'action_type': 'Passing', 'goals_added_raw': 0.436, 'goals_added_above_avg': -0.0258, 'count_actions': 416}, {'action_type': 'Receiving', 'goals_added_raw': 0.14170000000000002, 'goals_added_above_avg': -0.0726, 'count_actions': 297}, {'action_type': 'Shooting', 'goals_added_raw': 0.08940000000000001, 'goals_added_above_avg': -0.0196, 'count_actions': 3}]"
0x5g2xoXM7,kRQabn8MKZ,FB,479,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.2124, 'goals_added_above_avg': -0.2474, 'count_actions': 64}, {'action_type': 'Fouling', 'goals_added_raw': -0.0784, 'goals_added_above_avg': -0.058600000000000006, 'count_actions': 14}, {'action_type': 'Interrupting', 'goals_added_raw': 0.36210000000000003, 'goals_added_above_avg': 0.057100000000000005, 'count_actions': 75}, {'action_type': 'Passing', 'goals_added_raw': 0.1005, 'goals_added_above_avg': -0.0815, 'count_actions': 242}, {'action_type': 'Receiving', 'goals_added_raw': 0.07980000000000001, 'goals_added_above_avg': -0.0419, 'count_actions': 159}, {'action_type': 'Shooting', 'goals_added_raw': 0.052500000000000005, 'goals_added_above_avg': -0.0102, 'count_actions': 3}]"
0x5gJEVLM7,EKXMeX3Q64,ST,80,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0159, 'goals_added_above_avg': -0.0054, 'count_actions': 9}, {'action_type': 'Fouling', 'goals_added_raw': 0.0013000000000000002, 'goals_added_above_avg': -0.0067, 'count_actions': 2}, {'action_type': 'Interrupting', 'goals_added_raw': 0.0922, 'goals_added_above_avg': 0.058300000000000005, 'count_actions': 5}, {'action_type': 'Passing', 'goals_added_raw': -0.0097, 'goals_added_above_avg': 0.0067, 'count_actions': 10}, {'action_type': 'Receiving', 'goals_added_raw': 0.083, 'goals_added_above_avg': -0.0565, 'count_actions': 14}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0506, 'count_actions': 0}]"
0x5gJJWPM7,a2lqR4JMr0,ST,176,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.055600000000000004, 'goals_added_above_avg': -0.0222, 'count_actions': 13}, {'action_type': 'Fouling', 'goals_added_raw': -0.0022, 'goals_added_above_avg': -0.0261, 'count_actions': 1}, {'action_type': 'Interrupting', 'goals_added_raw': 0.0455, 'goals_added_above_avg': -0.014100000000000001, 'count_actions': 8}, {'action_type': 'Passing', 'goals_added_raw': -0.0816, 'goals_added_above_avg': -0.0165, 'count_actions': 28}, {'action_type': 'Receiving', 'goals_added_raw': 0.3821, 'goals_added_above_avg': 0.0108, 'count_actions': 31}, {'action_type': 'Shooting', 'goals_added_raw': 0.1063, 'goals_added_above_avg': -0.024800000000000003, 'count_actions': 3}]"
0x5gJWwjM7,APk5LGOMOW,FB,349,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0046, 'goals_added_above_avg': -0.020900000000000002, 'count_actions': 32}, {'action_type': 'Fouling', 'goals_added_raw': 0.25070000000000003, 'goals_added_above_avg': 0.2651, 'count_actions': 9}, {'action_type': 'Interrupting', 'goals_added_raw': 0.0507, 'goals_added_above_avg': -0.1715, 'count_actions': 39}, {'action_type': 'Passing', 'goals_added_raw': -0.0679, 'goals_added_above_avg': -0.2005, 'count_actions': 154}, {'action_type': 'Receiving', 'goals_added_raw': 0.0449, 'goals_added_above_avg': -0.0437, 'count_actions': 92}, {'action_type': 'Shooting', 'goals_added_raw': 0.06860000000000001, 'goals_added_above_avg': 0.0229, 'count_actions': 3}]"
0x5gJY2rM7,lgpMOvnQzy,W,127,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.6992, 'goals_added_above_avg': 0.6749, 'count_actions': 43}, {'action_type': 'Fouling', 'goals_added_raw': 0.0199, 'goals_added_above_avg': 0.0078000000000000005, 'count_actions': 3}, {'action_type': 'Interrupting', 'goals_added_raw': 0.09290000000000001, 'goals_added_above_avg': 0.0324, 'count_actions': 8}, {'action_type': 'Passing', 'goals_added_raw': 0.0413, 'goals_added_above_avg': 0.04, 'count_actions': 33}, {'action_type': 'Receiving', 'goals_added_raw': 0.14400000000000002, 'goals_added_above_avg': 0.0081, 'count_actions': 40}, {'action_type': 'Shooting', 'goals_added_raw': 0.24910000000000002, 'goals_added_above_avg': 0.1825, 'count_actions': 10}]"
0x5gJg07M7,Vj58weDM8n,W,16,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.027800000000000002, 'goals_added_above_avg': 0.024800000000000003, 'count_actions': 5}, {'action_type': 'Fouling', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0015, 'count_actions': 0}, {'action_type': 'Interrupting', 'goals_added_raw': 0.0006000000000000001, 'goals_added_above_avg': -0.007, 'count_actions': 3}, {'action_type': 'Passing', 'goals_added_raw': -0.013000000000000001, 'goals_added_above_avg': -0.0131, 'count_actions': 5}, {'action_type': 'Receiving', 'goals_added_raw': 0.0178, 'goals_added_above_avg': 0.0007, 'count_actions': 8}, {'action_type': 'Shooting', 'goals_added_raw': 0.051500000000000004, 'goals_added_above_avg': 0.0431, 'count_actions': 1}]"
0x5gLEbRq7,EKXMeX3Q64,ST,151,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.11220000000000001, 'goals_added_above_avg': -0.1047, 'count_actions': 24}, {'action_type': 'Fouling', 'goals_added_raw': -0.0008, 'goals_added_above_avg': -0.0193, 'count_actions': 10}, {'action_type': 'Interrupting', 'goals_added_raw': -0.0019, 'goals_added_above_avg': -0.0608, 'count_actions': 2}, {'action_type': 'Passing', 'goals_added_raw': -0.0199, 'goals_added_above_avg': 0.003, 'count_actions': 42}, {'action_type': 'Receiving', 'goals_added_raw': 0.1633, 'goals_added_above_avg': -0.0903, 'count_actions': 54}, {'action_type': 'Shooting', 'goals_added_raw': 0.09670000000000001, 'goals_added_above_avg': -0.0024000000000000002, 'count_actions': 7}]"
